"GAS-ETANOL";3475
"DIESEL";1202
"GASOLINA";1203
"ETANOL";1170
"BENZENO";1114
"QUEROSENE";1223
"METANOL";1230
"TOLUENO";1294
"XILENOS";1307
"ÁCIDO CLORÍDRICO";1789
"LÍQUIDO INFLAMÁVEL, N.E.";1993
